,Pořadí na kandidátce v 2002,"Příjmení, jméno",Tituly,Věk,Navrhující strana,Politická příslušnost,Hlasy abs. 2002,Hlasy v % 2002,Pořadí zvolení v 2002,Mandát v 2002,Pořadí na kandidátce v 2006,Hlasy abs. 2006,Hlasy v % 2006,Pořadí zvolení v 2006,Mandát v 2006,Pořadí na kandidátce v 2010,Hlasy abs. 2010,Hlasy v % 2010,Pořadí zvolení v 2010,Mandát v 2010,Pořadí na kandidátce v 2014,Hlasy abs. 2014,Hlasy v % 2014,Pořadí zvolení v 2014,Mandát v 2014,Pořadí na kandidátce v 2018,Hlasy abs. 2018,Hlasy v % 2018,Pořadí zvolení v 2018,Mandát v 2018
0,29.0,Adamec Pavel,MUDr.,35,US-DEU,US-DEU,2 474,2.08,26.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
1,45.0,Aloy Zdeněk,Ing.,70,ČSSD,ČSSD,7 283,1.8,35.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
2,3.0,Anderle Jan,Ing.,46,PVP,PVP,5 358,2.92,3.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
3,43.0,Andrlík Roman,,35,ČSSD,ČSSD,7 665,1.89,33.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
4,16.0,Anton Jiří,,27,SZ,BEZPP,1 343,1.86,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
5,13.0,Arnošt Patrik,,30,US-DEU,US-DEU,2 476,2.08,10.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
6,17.0,Aschenbrenner Lumír,Ing.,42,ODS,ODS,17 550,2.36,3.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
7,47.0,Aust Jan,,71,KSČM,KSČM,5 068,1.94,39.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
8,34.0,Babnič Jan,,48,ČSSD,ČSSD,8 220,2.03,24.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
9,40.0,Ballýová Hana,,61,KSČM,KSČM,5 405,2.07,32.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
10,42.0,Bardoňová Jana,,71,KSČM,KSČM,5 376,2.06,34.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
11,3.0,Bartman Vladislav,Ing.,49,ODS,ODS,16 776,2.25,5.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
12,27.0,Bartošová Libuše,RNDr.,43,US-DEU,US-DEU,2 385,2.0,24.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
13,17.0,Basl Jiří,Ing.,33,KDU-ČSL,KDU-ČSL,3 133,2.15,16.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
14,4.0,Baxa Martin,Mgr.,27,ODS,ODS,17 133,2.3,6.0,*,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
15,28.0,Bayer Rudolf,,29,US-DEU,US-DEU,2 264,1.9,25.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
16,4.0,Bednář Milan,Ing.,70,ODA,ODA,624,2.39,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
17,34.0,Bednář Radomír,Mgr.,42,KDU-ČSL,BEZPP,2 696,1.85,31.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
18,43.0,Běláč Josef,,61,KSČM,KSČM,5 379,2.06,35.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
19,3.0,Beneš Karel,,72,SŽJ,SŽJ,368,4.17,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
20,29.0,Beran Pavel,,48,ODA,BEZPP,449,1.72,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
21,8.0,Berglová Marie,,63,ODA,ODA,482,1.85,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
