,Název strany,Poèet hlasù abs 2002,Poèet hlasù v % 2002,Poèet hlasù abs 2006,Poèet hlasù v % 2006,Poèet hlasù abs 2010,Poèet hlasù v % 2010,Poèet hlasù abs 2014,Poèet hlasù v % 2014,Poèet hlasù abs 2018,Poèet hlasù v % 2018
0,Èeská str.sociálnì demokrat.,403 889,20.59,451 520,20.28,543 564,23.81,303 042,16.45,141 073,6.41
1,Strana za ivotní jistoty,8 820,0.45,,,,,,,,
2,Obèanská demokratická strana,743 089,37.89,1 007 049,45.23,565 614,24.78,323 390,17.55,486 401,22.11
3,Pravá volba pro Plzeò,183 245,9.34,177 562,7.98,115 104,5.04,,,,
4,Strana zelenıch,71 830,3.66,,,,,,,,
5,Obèanská demokratická aliance,26 005,1.33,,,,,,,,
6,Komunistická str.Èech a Moravy,260 123,13.26,277 883,12.48,221 476,9.7,152 903,8.3,124 055,5.64
7,Køes.demokr.unie-Ès.str.lid.,145 680,7.43,141 259,6.35,98 644,4.32,104 535,5.67,,
8,"Koalice US-DEU, SNK",118 713,6.05,,,,,,,,
9,Plzeòská aliance,,,168 750,7.58,102 860,4.51,,,,
10,Koruna Èeská (monarch.strana),,,2 263,0.1,,,,,13 486,0.61
11,Volte Pr.Blok www.cibulka.net,,,,,1 472,0.06,,,,
12,OBÈANÉ.CZ,,,,,206 734,9.06,,,,
13,Dìlnic.str.sociální spravedl.,,,,,4 321,0.19,,,,
14,Èeská pirátská strana,,,,,18 733,0.82,,,257 260,11.69
15,Suverenita-blok J.Bobošíkové,,,,,47 184,2.07,,,,
16,Strana Práv Obèanù ZEMANOVCI,,,,,14 336,0.63,,,,
17,Vìci veøejné,,,,,60 762,2.66,,,,
18,Balbínova poetická strana,,,,,907,0.04,,,,
19,TOP 09,,,,,280 985,12.31,166 696,9.05,150 150,6.83
20,VEØEJNÉ ZÁJMY PLZNÌ,,,,,,,53 661,2.91,19 337,0.88
21,Pravá volba pro Plzeò (PVP),,,,,,,50 469,2.74,,
22,Strana svobodnıch obèanù,,,,,,,41 131,2.23,,
23,Zmìna pro Plzeò,,,,,,,45 763,2.48,,
24,Spoleènì za Plzeò,,,,,,,88 100,4.78,,
25,Volební strana REPUBLIKA,,,,,,,2 025,0.11,,
26,Sdruení DSZ a NK,,,,,,,844,0.05,,
27,Plzeò pro sport,,,,,,,32 906,1.79,,
28,ANO 2011,,,,,,,329 815,17.9,488 324,22.2
29,Strana Práv Obèanù,,,,,,,2 358,0.13,,
30,Obèané patrioti,,,,,,,134 761,7.31,,
31,DSSS-Za Plz. bez hazar. a nepø,,,,,,,10 215,0.55,,
32,KDU-ÈSL- PRAVÁ VOLBA PRO PLZEÒ,,,,,,,,,144 203,6.56
33,PRO PLZEÒ,,,,,,,,,105 272,4.79
34,Svob.a pø.dem.-T.Okamura (SPD),,,,,,,,,108 882,4.95
35,NOVÁ PLZEÒ s Jiøím Strobachem,,,,,,,,,60 597,2.75
36,PATRIOTI STAROST. S PODP. SVOB,,,,,,,,,80 381,3.65
37,Èeská Plzeò - Naše Šance,,,,,,,,,10 589,0.48
38,Demokrat. strana zelenıch a NK,,,,,,,,,1 328,0.06
39,Strana soukromníkù ÈR,,,,,,,,,8 549,0.39
