,pclass,sex,age,sibsp,parch,fare,cabin,S,Q,C,survived
0,1,0,22.072820717948716,2,2,262.375,1,0,0,1,0
1,3,0,27.849089123033178,0,0,7.4958,7,1,0,0,0
2,3,0,37.02488417221915,0,0,7.75,7,0,1,0,0
3,3,0,28.3541184926772,0,0,7.225,7,0,0,1,0
4,3,0,27.061370842592183,0,0,9.5,7,1,0,0,0
5,1,0,35.68469675005845,0,1,29.7,2,0,0,1,0
6,3,1,26.29958234755244,0,0,7.65,7,1,0,0,1
7,1,0,45.87229266068377,0,0,26.2875,4,1,0,0,0
8,3,1,12.527179487179488,8,2,69.55,7,1,0,0,0
9,1,0,43.17525940962111,0,0,30.6958,7,0,0,1,0
10,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
11,2,0,30.603353083439043,0,0,13.0,7,1,0,0,0
12,1,1,43.25502112419481,0,0,221.7792,2,1,0,0,1
13,2,1,27.75712022921476,1,1,29.0,7,1,0,0,1
14,2,0,29.82119585901722,0,0,10.5,7,1,0,0,0
15,3,0,28.091017427852407,0,0,7.7333,7,0,1,0,0
16,1,0,39.44756896027948,1,0,61.175,4,1,0,0,0
17,3,0,28.156879684627015,0,0,7.8542,7,1,0,0,0
18,1,0,37.02047017018069,1,0,53.1,4,1,0,0,0
19,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
20,3,0,28.718256137356644,0,0,7.25,7,1,0,0,0
21,1,0,51.73337573120803,0,0,35.5,0,0,0,1,0
22,3,1,25.321509650051453,0,0,7.2833,7,0,1,0,1
23,3,1,21.039910187911275,1,1,13.775,7,1,0,0,0
24,3,1,27.447030887283145,1,0,9.825,7,1,0,0,0
25,1,0,40.40286214283801,2,0,90.0,2,0,1,0,0
26,3,1,31.90962139916353,1,0,16.1,7,1,0,0,0
27,3,0,28.354669605695626,0,0,7.8958,7,1,0,0,0
28,1,1,46.89454984957572,0,0,76.2917,3,0,0,1,1
29,1,1,44.499954609845716,0,0,31.6833,7,1,0,0,1
30,3,0,27.037673114525937,0,0,7.2292,5,0,0,1,0
31,1,1,44.79989414563053,0,0,79.2,7,0,0,1,1
32,2,0,30.603353083439043,0,0,13.0,7,1,0,0,0
33,3,1,19.289688440659383,0,2,11.1333,7,1,0,0,1
34,3,1,24.711509650051454,0,0,7.7333,7,0,1,0,1
35,3,0,19.16393784191662,2,0,21.6792,7,0,0,1,0
36,1,1,26.532496337662337,1,2,52.0,1,1,0,0,1
37,1,0,35.87296876399462,0,1,77.2875,3,1,0,0,0
38,1,0,45.87229266068377,0,0,26.2875,4,1,0,0,0
39,3,1,26.690501271893517,0,0,9.5875,7,1,0,0,1
40,3,0,28.354669605695626,0,0,7.925,7,1,0,0,0
41,3,1,26.578501271893515,0,0,8.6625,7,1,0,0,1
42,3,0,28.354669605695626,0,0,7.8958,7,1,0,0,0
43,3,1,27.386558841610903,0,0,7.8958,7,1,0,0,1
44,3,0,28.3541184926772,0,0,7.225,7,0,0,1,0
45,3,0,27.88461270023348,0,0,56.4958,7,1,0,0,0
46,3,0,28.156879684627015,0,0,7.8542,7,1,0,0,0
47,3,1,24.363878481220286,0,0,6.75,7,0,1,0,1
48,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
49,2,0,34.31005150459384,1,0,26.0,7,1,0,0,0
50,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
51,1,0,38.058214341214345,0,0,45.5,7,1,0,0,0
52,1,0,27.32011266666667,1,2,120.0,1,1,0,0,0
53,3,0,31.546212726483088,0,0,6.4375,7,0,0,1,0
54,3,0,31.597524167195765,0,0,6.975,7,1,0,0,0
55,1,1,23.02824596470197,1,2,151.55,2,1,0,0,1
56,3,0,28.3541184926772,0,0,7.225,7,0,0,1,0
57,3,1,15.153527833333333,3,1,25.4667,7,1,0,0,0
58,3,1,20.12033447071494,3,0,15.85,7,1,0,0,0
59,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
60,3,0,35.987980620825795,0,0,0.0,7,1,0,0,1
61,1,0,42.89327787155373,1,0,71.2833,2,0,0,1,0
62,3,1,36.08415324707682,1,5,31.275,7,1,0,0,0
63,2,1,33.12674177881062,1,0,21.0,7,1,0,0,1
64,1,1,34.603773260946944,0,0,135.6333,2,1,0,0,1
65,3,0,26.899535014619097,1,0,7.925,7,1,0,0,0
66,2,1,29.676992954985216,0,0,10.5,4,1,0,0,1
67,2,1,30.47374098976627,0,0,13.0,7,1,0,0,1
68,3,0,24.764735244787484,1,0,7.0458,7,1,0,0,0
69,3,0,28.038609716018712,0,0,8.05,7,1,0,0,0
70,3,1,16.326363771495206,1,1,15.7417,7,0,0,1,0
